0,0,0,0
0,0,0,0
4,4,4,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
13,13,13,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,1,0
0,0,0,0
0,0,0,0
1,1,1,0
0,8,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,29,1,0
8,8,8,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,8,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
8,31,8,0
0,0,0,0
0,0,0,3
0,4,4,0
0,4,0,0
0,0,0,0
0,4,8,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,4,3,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
8,4,8,17
8,4,8,0
3,8,8,14
8,8,8,3
8,4,8,0
0,0,0,0
34,4,8,3
17,3,8,0
3,4,3,3
8,4,8,17
8,3,8,14
0,0,0,0
17,14,14,14
14,14,14,14
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
