0,0,0,0
0,0,0,0
8,10,5,5
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,17,1,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,1,0
0,0,0,0
0,0,0,0
1,1,1,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,1,25
1,0,34,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,14,0
1,0,0,0
1,0,30,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
8,38,2,0
1,0,34,3
3,38,3,3
8,38,3,3
8,0,3,3
1,0,0,0
8,38,3,3
8,0,0,0
8,38,3,3
8,38,2,34
3,3,3,3
1,0,0,0
1,0,3,3
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
